loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,2, Graduate, No,9600000,29900000,12,778,2400000,17600000,22700000,8000000, Approved
2,0, Not Graduate, Yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000, Rejected
3,3, Graduate, No,9100000,29700000,20,506,7100000,4500000,33300000,12800000, Rejected
4,5, Not Graduate, Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000, Rejected
5,5, Graduate, No,8700000,33000000,4,678,22500000,14800000,29200000,4300000, Approved
6,2, Graduate, Yes,5700000,15000000,20,382,13200000,5700000,11800000,6000000, Rejected
7,0, Graduate, Yes,800000,2200000,20,782,1300000,800000,2800000,600000, Approved
8,5, Not Graduate, No,1100000,4300000,10,388,3200000,1400000,3300000,1600000, Rejected
9,4, Graduate, Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000, Approved
10,2, Not Graduate, Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000, Rejected
11,3, Not Graduate, Yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000, Rejected
12,5, Not Graduate, No,4700000,10700000,10,794,5700000,3900000,16400000,4400000, Approved
13,4, Not Graduate, Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000, Approved
14,5, Graduate, No,6300000,14600000,12,652,10300000,3500000,23500000,5900000, Approved
15,4, Graduate, No,5800000,14000000,16,530,3800000,11300000,22200000,5400000, Rejected
16,0, Not Graduate, Yes,500000,1400000,2,551,900000,600000,1100000,300000, Approved
17,5, Not Graduate, No,3100000,9500000,20,514,7900000,3100000,6600000,2600000, Rejected
18,4, Graduate, No,8200000,28100000,12,696,11500000,10600000,25300000,7200000, Approved
19,4, Not Graduate, Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000, Approved
20,3, Not Graduate, Yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000, Approved
21,2, Graduate, No,5700000,12000000,6,363,3600000,7400000,21700000,4300000, Rejected
22,3, Graduate, No,4900000,11900000,8,612,9700000,1200000,19000000,5800000, Approved
23,2, Graduate, Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000, Approved
24,5, Graduate, No,3600000,7700000,16,830,7000000,1300000,10000000,2900000, Approved
25,2, Not Graduate, No,9100000,24900000,16,822,22300000,12100000,31000000,5200000, Approved
26,5, Graduate, No,6500000,13400000,18,787,18200000,300000,16200000,5400000, Approved
27,4, Graduate, No,8000000,27800000,16,331,13000000,6300000,21400000,10900000, Rejected
28,3, Not Graduate, No,5500000,20500000,12,634,800000,8600000,18500000,8200000, Approved
29,1, Not Graduate, Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000, Approved
30,4, Graduate, No,7300000,25400000,16,502,500000,1800000,20500000,10500000, Rejected
31,2, Graduate, No,8700000,24700000,10,435,6800000,3500000,21800000,11300000, Rejected
32,5, Not Graduate, No,3800000,7600000,4,689,8700000,100000,9300000,3400000, Approved
33,5, Not Graduate, No,6700000,24500000,12,818,1200000,5600000,16300000,6200000, Approved
34,2, Not Graduate, No,4300000,10600000,18,431,2100000,1500000,9300000,5200000, Rejected
35,5, Graduate, Yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000, Approved
36,4, Not Graduate, Yes,5500000,18200000,16,797,-100000,4900000,18600000,4800000, Approved
37,2, Not Graduate, No,8500000,18900000,18,478,23800000,16300000,25900000,11400000, Rejected
38,3, Not Graduate, Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000, Approved
39,5, Not Graduate, Yes,8800000,28900000,6,365,24400000,8600000,27400000,4700000, Rejected
40,4, Graduate, Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000, Approved
41,3, Not Graduate, No,8300000,29100000,10,715,6100000,11900000,24100000,11900000, Approved
42,0, Not Graduate, Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000, Rejected
43,4, Graduate, No,5600000,12400000,4,777,5500000,3100000,11800000,5500000, Approved
44,0, Graduate, No,1900000,5000000,12,312,4000000,2800000,4900000,2400000, Rejected
45,4, Not Graduate, Yes,500000,1500000,20,340,100000,200000,1900000,600000, Rejected
46,3, Not Graduate, Yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000, Approved
47,2, Not Graduate, No,2600000,8400000,6,494,6500000,3800000,5600000,2000000, Rejected
48,2, Not Graduate, No,8500000,29400000,12,576,17600000,5600000,25200000,9000000, Approved
49,4, Graduate, No,3500000,8900000,4,470,1300000,2200000,12300000,2000000, Rejected
50,2, Graduate, No,6800000,21200000,16,439,17100000,4700000,23300000,3600000, Rejected
51,1, Not Graduate, Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000, Rejected
52,2, Not Graduate, No,9800000,37600000,10,641,24100000,0,23400000,7600000, Approved
53,4, Graduate, No,5700000,21100000,18,489,500000,4300000,12500000,6000000, Rejected
54,1, Graduate, No,1700000,6400000,10,452,900000,1100000,5600000,2100000, Rejected
55,2, Graduate, No,1000000,2000000,10,366,1200000,400000,3200000,1300000, Rejected
56,2, Graduate, Yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000, Rejected
57,2, Not Graduate, No,8700000,25000000,20,861,14700000,8500000,23200000,7300000, Approved
58,3, Not Graduate, Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000, Approved
59,4, Not Graduate, Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000, Approved
60,2, Graduate, No,3300000,6800000,14,317,3400000,300000,11700000,3600000, Rejected
61,0, Not Graduate, No,300000,1100000,8,778,800000,200000,900000,100000, Approved
62,3, Graduate, Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000, Rejected
63,5, Not Graduate, Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000, Approved
64,1, Not Graduate, No,8400000,23400000,14,437,15400000,5800000,33400000,8100000, Rejected
65,0, Not Graduate, Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000, Approved
66,1, Not Graduate, Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000, Approved
67,0, Not Graduate, Yes,9000000,18700000,18,865,26800000,0,20900000,11300000, Approved
68,3, Graduate, No,200000,600000,16,821,400000,100000,500000,100000, Approved
69,4, Not Graduate, Yes,400000,800000,10,859,900000,500000,800000,200000, Approved
70,3, Graduate, No,400000,1200000,12,861,200000,600000,1100000,200000, Approved
71,3, Not Graduate, No,1500000,5500000,16,717,2100000,800000,4400000,1300000, Approved
72,3, Graduate, No,1600000,5500000,12,425,600000,800000,5400000,900000, Rejected
73,2, Not Graduate, No,4600000,16700000,2,786,200000,5900000,13900000,6100000, Approved
74,5, Not Graduate, Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000, Rejected
75,2, Not Graduate, Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000, Approved
76,4, Not Graduate, No,3600000,7500000,6,894,1100000,6500000,7400000,2800000, Approved
77,0, Graduate, Yes,5500000,16700000,18,829,5500000,1300000,12800000,5900000, Approved
78,4, Not Graduate, No,6600000,17400000,20,506,2600000,10000000,25900000,7200000, Rejected
79,2, Graduate, Yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000, Approved
80,0, Not Graduate, Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000, Approved
81,5, Graduate, No,2000000,6200000,18,402,4000000,2100000,7200000,1100000, Rejected
82,5, Graduate, Yes,8900000,28800000,6,772,13600000,5500000,20400000,8400000, Approved
83,1, Graduate, Yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000, Approved
84,2, Not Graduate, No,1300000,4500000,6,415,0,900000,2900000,1200000, Rejected
85,3, Not Graduate, No,9700000,20600000,16,524,24200000,11100000,27400000,6100000, Rejected
86,2, Not Graduate, Yes,2000000,5300000,10,681,4900000,1400000,4300000,2900000, Approved
87,2, Graduate, Yes,8100000,22300000,18,737,22300000,12600000,27000000,7300000, Approved
88,0, Not Graduate, No,5700000,15900000,16,638,100000,9500000,16300000,4500000, Approved
89,1, Graduate, No,1800000,6500000,6,540,2500000,3200000,5000000,1100000, Rejected
90,4, Not Graduate, Yes,9100000,35200000,6,341,1000000,300000,23100000,8200000, Rejected
91,0, Not Graduate, Yes,4800000,17500000,2,371,11700000,6800000,18700000,3500000, Approved
92,3, Not Graduate, Yes,3800000,10500000,12,886,4000000,500000,14900000,2300000, Approved
93,4, Not Graduate, Yes,6600000,14300000,8,371,10800000,9500000,18500000,7400000, Rejected
94,2, Graduate, No,1800000,5300000,6,826,4500000,700000,6500000,1300000, Approved
95,4, Not Graduate, No,9200000,27200000,12,873,4500000,1800000,33800000,11400000, Approved
96,4, Not Graduate, No,5600000,13300000,20,869,3300000,7500000,20000000,6500000, Approved
97,3, Not Graduate, Yes,4500000,17900000,6,787,9800000,3600000,14300000,4200000, Approved
98,0, Graduate, Yes,900000,2200000,16,566,100000,700000,2000000,600000, Approved
99,0, Not Graduate, No,2800000,9900000,8,742,4900000,1300000,6700000,1700000, Approved
100,4, Graduate, No,1400000,3100000,14,575,3000000,2100000,4900000,1400000, Approved
101,2, Graduate, Yes,3800000,10900000,10,766,1900000,3900000,8600000,3000000, Approved
102,1, Not Graduate, Yes,1700000,5000000,10,888,2900000,900000,4100000,2200000, Approved
103,5, Not Graduate, Yes,7300000,23300000,6,622,7100000,11600000,26400000,10500000, Approved
104,1, Not Graduate, No,9000000,28200000,16,327,1700000,2300000,24000000,11200000, Rejected
105,0, Not Graduate, No,3000000,6500000,2,612,8800000,3400000,6700000,1700000, Approved
106,3, Graduate, No,9200000,27100000,12,306,5800000,11500000,28000000,9600000, Rejected
107,3, Graduate, Yes,4700000,16400000,10,318,11400000,8100000,16200000,4300000, Rejected
108,2, Not Graduate, Yes,3800000,8900000,16,389,200000,5600000,12200000,2200000, Rejected
109,3, Not Graduate, No,2900000,6500000,18,827,8300000,600000,10400000,3200000, Approved
110,2, Graduate, No,9800000,20900000,12,768,3400000,10200000,38600000,13400000, Approved
